"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente - percentual do total geral"
"Cód.","Município","Situação do domicílio","Ano x Sexo"
"Cód.","Município","Situação do domicílio","2000","2010"
"Cód.","Município","Situação do domicílio","Total","Total"
"1702000","Araguaçu (TO)","Urbana","66.95","66.95"
"1702109","Araguaína (TO)","Urbana","93.58","94.98"
"1702158","Araguanã (TO)","Urbana","62.22","67.32"
"1702208","Araguatins (TO)","Urbana","60.70","64.27"
"1702307","Arapoema (TO)","Urbana","78.33","80.91"
"1702406","Arraias (TO)","Urbana","55.86","69.24"
"1702554","Augustinópolis (TO)","Urbana","78.89","82.61"
"1702703","Aurora do Tocantins (TO)","Urbana","63.21","72.03"
"1702901","Axixá do Tocantins (TO)","Urbana","85.65","82.17"
"1703008","Babaçulândia (TO)","Urbana","41.00","47.29"
"1703057","Bandeirantes do Tocantins (TO)","Urbana","46.13","53.97"
"1703073","Barra do Ouro (TO)","Urbana","39.06","53.02"
"1703107","Barrolândia (TO)","Urbana","82.41","83.74"
"1703206","Bernardo Sayão (TO)","Urbana","43.81","49.08"
"1703305","Bom Jesus do Tocantins (TO)","Urbana","48.64","75.00"
"1703602","Brasilândia do Tocantins (TO)","Urbana","63.03","69.57"
"1703701","Brejinho de Nazaré (TO)","Urbana","78.47","80.91"
"1703800","Buriti do Tocantins (TO)","Urbana","77.99","76.31"
"1703826","Cachoeirinha (TO)","Urbana","87.25","80.59"
"1703842","Campos Lindos (TO)","Urbana","39.18","59.21"
"1703867","Cariri do Tocantins (TO)","Urbana","64.95","55.72"
"1703883","Carmolândia (TO)","Urbana","77.19","78.76"
"1703891","Carrasco Bonito (TO)","Urbana","48.88","53.34"
"1703909","Caseara (TO)","Urbana","72.40","59.49"
"1704105","Centenário (TO)","Urbana","35.18","58.61"
"1704600","Chapada de Areia (TO)","Urbana","43.23","56.10"
"1705102","Chapada da Natividade (TO)","Urbana","37.90","50.53"
"1705508","Colinas do Tocantins (TO)","Urbana","95.31","96.01"
"1705557","Combinado (TO)","Urbana","82.67","85.67"
"1705607","Conceição do Tocantins (TO)","Urbana","53.35","69.61"
"1706001","Couto Magalhães (TO)","Urbana","42.33","37.61"
"1706100","Cristalândia (TO)","Urbana","91.73","81.89"
"1706258","Crixás do Tocantins (TO)","Urbana","56.07","55.75"
"1706506","Darcinópolis (TO)","Urbana","55.51","66.17"
"1707009","Dianópolis (TO)","Urbana","80.68","86.04"
"1707108","Divinópolis do Tocantins (TO)","Urbana","69.03","70.19"
"1707207","Dois Irmãos do Tocantins (TO)","Urbana","32.85","38.78"
"1707306","Dueré (TO)","Urbana","64.93","66.53"
"1707405","Esperantina (TO)","Urbana","46.60","48.69"
"1707553","Fátima (TO)","Urbana","85.63","82.39"
"1707652","Figueirópolis (TO)","Urbana","77.63","75.92"
"1707702","Filadélfia (TO)","Urbana","49.20","65.11"
"1708205","Formoso do Araguaia (TO)","Urbana","70.46","72.36"
"1708254","Fortaleza do Tabocão (TO)","Urbana","71.63","81.36"
"1708304","Goianorte (TO)","Urbana","46.64","55.69"
"1709005","Goiatins (TO)","Urbana","38.43","41.02"
"1709302","Guaraí (TO)","Urbana","87.86","91.07"
"1709500","Gurupi (TO)","Urbana","97.62","97.71"
"1709807","Ipueiras (TO)","Urbana","50.26","58.45"
"1710508","Itacajá (TO)","Urbana","53.22","60.15"
"1710706","Itaguatins (TO)","Urbana","51.21","56.33"
"1710904","Itapiratins (TO)","Urbana","35.46","54.19"
"1711100","Itaporã do Tocantins (TO)","Urbana","61.54","63.93"
"1711506","Jaú do Tocantins (TO)","Urbana","31.94","37.35"
"1711803","Juarina (TO)","Urbana","48.95","46.30"
"1711902","Lagoa da Confusão (TO)","Urbana","55.06","62.02"
"1711951","Lagoa do Tocantins (TO)","Urbana","64.47","72.00"
"1712009","Lajeado (TO)","Urbana","67.53","78.11"
"1712157","Lavandeira (TO)","Urbana","52.03","63.74"
"1712405","Lizarda (TO)","Urbana","38.24","69.34"
"1712454","Luzinópolis (TO)","Urbana","65.66","63.88"
"1712504","Marianópolis do Tocantins (TO)","Urbana","59.06","54.76"
"1712702","Mateiros (TO)","Urbana","38.88","63.74"
"1712801","Maurilândia do Tocantins (TO)","Urbana","55.33","63.95"
"1713205","Miracema do Tocantins (TO)","Urbana","83.60","86.72"
"1713304","Miranorte (TO)","Urbana","90.68","87.43"
"1713601","Monte do Carmo (TO)","Urbana","44.79","42.90"
"1713700","Monte Santo do Tocantins (TO)","Urbana","20.39","21.58"
"1713809","Palmeiras do Tocantins (TO)","Urbana","54.02","56.31"
"1713957","Muricilândia (TO)","Urbana","64.37","57.11"
"1714203","Natividade (TO)","Urbana","72.17","79.94"
"1714302","Nazaré (TO)","Urbana","38.89","45.39"
